User,Date Created,Number of Likes,Source of Tweet,Tweets
Pantingdeer5,2023-06-01 18:06:31+00:00,0,,"@ryanfield @TheKevinDalton @davidhogg111 It's not propaganda. 

Dude, you're in denial or a Groomer if you're NOT seeing  more and more  what they call ""Family-friendly"" Drag shows. 

Why would you think people are making this up?"
Maalox1017,2023-06-01 18:06:29+00:00,0,,"@HansMeyer360 @RustyMalley @BaronVonPhul @TheLaurenChen Hi groomer.   What is the preferred age child do you like to molest?
How many illegal invaders do you have residing in your house?
Please move to a shithole city run by the Democrats you so love."
Captainjabbin12,2023-06-01 18:06:28+00:00,0,,@allan75smith @MarshallsLife68 @theJagmeetSingh Ok groomer.
RozzickCl0wn,2023-06-01 18:06:25+00:00,0,,@dreamwastaken @Christhealtgod aren't you a groomer pedophile? https://t.co/YmrF6rKjqc
H1ghDef1nition,2023-06-01 18:06:18+00:00,0,,@dreamwastaken yeah happy birthday to techno but he would NOT be proud with thr shit you’ve done my guy… i don’t think hed be proud of you being ableist and a groomer well done tf
Rrlaw3,2023-06-01 18:06:15+00:00,0,,@metamoose1 @ChristinaPushaw @BryanDGriffin @AP @RonDeSantis What are you saying groomer?
StenGunner56,2023-06-01 18:06:06+00:00,0,,@DrewHLive Groomer to the MAX!
determinerik,2023-06-01 18:06:05+00:00,1,,@KuypersMarieke @Zezunja @ewmagazinenl Sowieso is de hele groomer-insteek een variant op de blood libel verhalen.
A31647031,2023-06-01 18:06:03+00:00,0,,"@breadryo “grooming” is a funny way to say “sent porn unprompted”

if anything, it seems like the person sending porn and saying the other person has a “17 ton ass” while they’re talking about being sick sounds like a groomer https://t.co/LYeo7t7X2f"
bidetmarxman,2023-06-01 18:05:49+00:00,2,,@kennardmatt Is this a job application for The Guardian?
PhantomGirl007,2023-06-01 18:05:45+00:00,0,,"@CumHammer69 @KorbanDallas20 @RepRobertGarcia You're right, they aren't demanding it. They just do it, and people like you don' give AF about it.

Ok, GROOMER?"
BlueQanon4Eva,2023-06-01 18:05:40+00:00,0,,"“yOu ArE a GrOoMeR”

Motherf*cker, you don’t even know me. These people are so stupid it’s funny now.🤣🤣🤣🤣"
DeplorPatriot,2023-06-01 18:05:39+00:00,0,,"@galexybrane @tabletmag Nice article! Your details on the corrupt unions, Weingarten, are a great addition to our understanding. I also like the connection with the Levi’s executive who was fired. Now we see Levi’s embrace of horrid Woke culture. 
Next article: expose the groomer culture in schools"
WalterJRoyster,2023-06-01 18:05:32+00:00,0,,@Tom_Norm @FKASerioJosh @acrossthesevern @jk_rowling Tom definitely needs his hard drive checking. Genuine pervert groomer vibes from this creep.
